Wine Consumption Per Capita in Zambia,
,
Date,Liters of Pure Alcohol
2019,0.05
2018,0.08
2017,0.08
2016,0.06
2015,0.08
2014,0.09
2013,0.07
2012,0.60
2011,0.61
2010,0.68
2009,0.59
2008,0.36
2007,0.41
2006,0.25
2005,0.11
2004,0.34
2003,0.09
2002,0.20
2001,0.22
2000,0.22
1999,0.01
1998,0.01
1997,0.01
1996,0.01
1995,0.00
1994,0.00
1993,0.01
1992,0.01
1991,0.01
1990,0.01
1989,0.00
1988,0.00
1987,0.01
1986,0.01
1985,0.05
1984,0.01
1983,0.01
1982,0.01
1981,0.01
1980,0.01
1979,0.01
1978,0.01
1977,0.01
1976,0.02
1975,0.03
1974,0.03
1973,0.02
1972,0.03
1971,0.03
1970,0.04
1969,0.03
1968,0.03
1967,0.04
1966,0.02
1965,0.02
1964,0.02
1963,0.02
1962,0.02
1961,0.02
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/zambia-wine-consumption-per-capita,
