Wine Consumption Per Capita in Zimbabwe,
,
Date,Liters of Pure Alcohol
2019,0.03
2018,0.04
2017,0.04
2016,0.04
2015,0.03
2014,0.19
2013,0.19
2012,0.09
2011,0.13
2010,0.10
2009,0.07
2008,0.04
2007,0.01
2006,0.01
2005,0.01
2004,0.01
2003,0.02
2002,0.04
2001,0.01
2000,0.01
1999,0.04
1998,0.04
1997,0.05
1996,0.05
1995,0.05
1994,0.04
1993,0.03
1992,0.03
1991,0.03
1990,0.02
1989,0.03
1988,0.03
1987,0.03
1986,0.04
1985,0.04
1984,0.05
1983,0.05
1982,0.05
1981,0.06
1980,0.05
1979,0.04
1978,0.03
1977,0.02
1976,0.02
1975,0.02
1974,0.00
1973,0.00
1972,0.00
1971,0.00
1970,0.00
1969,0.00
1968,0.00
1967,0.00
1966,0.01
1965,0.04
1964,0.04
1963,0.05
1962,0.02
1961,0.04
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/zimbabwe-wine-consumption-per-capita,
