Wine Consumption Per Capita in the UK,
,
Date,Liters of Pure Alcohol
2019,3.50
2018,3.44
2017,3.52
2016,3.46
2015,3.39
2014,3.30
2013,3.28
2012,3.22
2011,3.22
2010,3.23
2009,3.17
2008,3.40
2007,3.51
2006,3.25
2005,3.42
2004,3.33
2003,3.05
2002,3.28
2001,3.60
2000,3.25
1999,2.48
1998,2.40
1997,2.29
1996,2.09
1995,2.03
1994,1.96
1993,1.87
1992,1.81
1991,1.81
1990,1.80
1989,1.78
1988,1.72
1987,1.65
1986,1.41
1985,1.36
1984,1.31
1983,1.16
1982,1.07
1981,1.06
1980,0.99
1979,0.99
1978,0.92
1977,0.77
1976,0.83
1975,0.75
1974,0.76
1973,0.75
1972,0.59
1971,0.51
1970,0.42
1969,0.41
1968,0.42
1967,0.37
1966,0.34
1965,0.32
1964,0.34
1963,0.30
1962,0.29
1961,0.28
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/united-kingdom-wine-consumption-per-capita,
