Wine Consumption Per Capita in the US,
,
Date,Liters of Pure Alcohol
2019,1.65
2018,1.63
2017,1.63
2016,1.63
2015,1.59
2014,1.63
2013,1.59
2012,1.60
2011,1.55
2010,1.45
2009,1.48
2008,1.44
2007,1.44
2006,1.40
2005,1.36
2004,1.32
2003,1.29
2002,1.25
2001,1.17
2000,1.17
1999,1.17
1998,1.14
1997,1.14
1996,1.14
1995,1.10
1994,1.06
1993,1.06
1992,1.14
1991,1.14
1990,1.25
1989,1.29
1988,1.36
1987,1.44
1986,1.48
1985,1.44
1984,1.40
1983,1.36
1982,1.36
1981,1.32
1980,1.29
1979,1.21
1978,1.17
1977,1.10
1976,1.21
1975,1.21
1974,1.17
1973,1.17
1972,1.14
1971,1.17
1970,1.02
1969,0.98
1968,0.98
1967,0.95
1966,0.91
1965,0.91
1964,0.91
1963,0.87
1962,0.83
1961,0.87
1960,0.83
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/united-states-wine-consumption-per-capita,
